Qual sua idade?,Qual é o seu gênero?,Antes de conhecer a MusicDot você tinha algum conhecimento musical?,Você tem uma matrícula ativa da MusicDot?,Você assina o plano Semestral ou Anual?,Você pediu para fazer um teste da MusicDot antes de se matricular?,Qual é o seu principal objetivo com aprendizagem musical? (Pode selecionar mais de uma opção),Qual dessas categorias te atraiu no 1º momento? (Pode selecionar mais de uma opção),Você está atualmente fazendo aulas de que instrumento?,Qual o nível do curso que você está fazendo?,Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Repertório],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Professor],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Exercícios],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Material de apoio],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Qualidade dos vídeos],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Didática],Como você avalia a variedade de estilos musicais para os cursos da MusicDot?,"Com relação aos recursos da MusicDot, que nota você daria para: [Acompanhamento dos professores pelo fórum]","Com relação aos recursos da MusicDot, que nota você daria para: [Tempo de resposta no fórum]","Com relação aos recursos da MusicDot, que nota você daria para: [Postar um vídeo ou áudio no fórum]","Com relação aos recursos da MusicDot, que nota você daria para: [Usar aplicativo da MusicDot]","Com relação aos recursos da MusicDot, que nota você daria para: [Download dos materiais das aulas]",Quais são os pontos negativos em se estudar na MusicDot?,Quais são os pontos positivos em estudar na MusicDot? ,"Em uma escala de 0 a 10, o quanto você recomendaria a MusicDot a um amigo(a) ou colega?",Qual a melhor forma de te avisarmos sobre novos lançamentos de cursos e funcionalidades da plataforma?,Quais foram as suas primeiras impressões em relação a MusicDot? (Pode selecionar mais de uma opção),O que te motiva acompanhar a MusicDot pelas redes sociais ? (Pode selecionar mais de uma opção),"Hoje se você fosse aprender algum instrumento musical, qual seria o principal objetivo ? (Pode selecionar mais de uma opção)",Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Preço],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Diversas opções de pagamento],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Suporte online para esclarecimentos de dúvidas],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Material impresso],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Acesso Vitalício],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Conteúdo dos cursos],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Didática],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Planos oferecidos],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Estilos musicais variados],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Reputação da escola],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Indicação de um amigo],Você sabia que existe a possibilidade de testar a MusicDot?,Você gostaria que a gente entrasse em contato pelo e-mail para oferecer um teste da MusicDot?,Qual plano você havia contratado?,Por quanto tempo ficou na plataforma?,Há quanto tempo você saiu da plataforma?,Porque você deixou de ser aluno da MusicDot? (Pode selecionar mais de uma opção),Gostaria de dar mais detalhes sobre sua saída?,Você estudaria novamente na MusicDot?,"Você gostaria que a gente entrasse em contato pelo e-mail para oferecer um teste da MusicDot, para você ver as novidades desde que saiu?","Em uma escala de 0 a 10, o quanto você recomendaria a MusicDot a um amigo(a) ou colega?.1",Como conheceu a MusicDot? (Pode selecionar mais de uma opção),Poderia dar mais detalhes de como conheceu a gente?,Você acompanha a MusicDot em alguma rede social ou meio? Qual? (Pode selecionar mais de uma opção),Você fez algum acampamento de música?,Quando fez o acampamento de música você já assinava a MusicDot?,Poderia falar pra gente o que te motivou a fazer o acampamento?,Quer deixar algum comentário final pra equipe da MusicDot?
65 anos ou mais,Mulher,2,Não,,,,,,,,,,,,,,,,,,,,,,,É uma escola de música online,Quero aperfeiçoar o que já sei através dos conteúdos,"Passatempo, Quero melhorar minhas habilidades musicais",Média,Média,Média,Média,Baixa,Média,Média,Baixa,Baixa,Média,Média,Não,Sim,,,,,,,,,"Youtube, Acampamento de Música",,Não acompanho em nenhum lugar,Sim,Não,,Achei  a metodologia interessante.
de 45 a 54 anos,Homem,3,Sim,Anual,"Não, eu não vi necessidade em experimentar",Passatempo,Teclado,Teclado,Intermediário,2,2,2,2,2,2,5.0,2,2,2,2,2,8,Didática.,10.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,Youtube,youtube,Youtube,Não,Não fiz o acampamento,,Podem continuar. 
de 25 a 34 anos,Homem,2,Sim,Semestral,"Não, eu não vi necessidade em experimentar","Passatempo, Tocar/cantar na igreja, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical","Teclado, Violão, Guitarra",Guitarra,Intermediário,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5.0,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,"Infelizmente por conta do trabalho estou muito ausente da plataforma.  Quanto a plataforma em si, nada a declarar.","Posso estudar quando eu quiser, o instrumento que eu quiser. Isso é FANTÁSTICO",10.0,"email (newsletter), Youtube da MusicDot, post no Instagram da MusicDot, Grupo de Telegram",,,,,,,,,,,,,,,,,,,,,,,,,Indicação de amigos ou família,"No trabalho, estava conversando com um colega e ele me mandou um vídeo de teclado do Pedro Lopes. Entrei no site e me encantei.","Youtube, Instagram, Newsletter, Spotify / Podcast MusicDoters",Sim,Sim,"Fiz o acampamento de violão. Quis fazer como forma de avaliação própria, e fiquei bem satisfeito com meu desempenho.","Sempre elogio o método e os professores. Essa escola é incrível <3
Minha única sugestão é, de adicionarem os planos de estudo igual tem na plataforma da Alura. Aquela forma de organizar e planejar os próximos estudos é muito legal, e sinto falta na plataforma da MusicDot."
de 45 a 54 anos,Homem,5,Não,,,,,,,,,,,,,,,,,,,,,,,"É uma escola de música online, profissionais sérios que gostam de ensinar","Quero aprender um instrumento musical, Gosto de avaliações de instrumentos musicais","Passatempo, Tocar/cantar na igreja",Muito alta,Média,Alta,Muito baixa,Muito alta,Muito alta,Alta,Alta,Média,Muito alta,Alta,Não,Sim,,,,,,,,,Youtube,"Estava procurando no YouTube um vídeo profissional para me ajudar na escolha de  um teclado. Foi fundamental o auxílio para eu decidir e comprar o instrumento. Então, depois comprei o serviço anual MusicDot.",Não acompanho em nenhum lugar,Não,Não fiz o acampamento,"Não entendi a razão dessa estória de acampamento.  Muito estranhas essas últimas questões.   Vocês estão se referindo a Acampamento Religioso de retiro, geralmente, em período de carnaval que Protestantes e Evangélicos fazem?  Então,  há uma modalidade de Acampamento só de música...  Você devem pensar direito se isto acontecem em tudo o Brasil e se é relevante ao negócio.   Bem, é só minha opinião.   ","Paguei mais de um ano, mas não consegui desenvolver como desejava, o que contribuiu para isto, no lado do ""Portal"" MusicDot,  sigo acreditando nisto, é que o nele deveria ter uma abordagem ""gameficada"", isto é, estimular por pontuação ou premiações digitais ou reais (desconto, sorteio) por avanço ou uso dos recursos disponíveis no curso ou site. como uma plataforma.  Portanto, como estar (quando tinha assinatura, acho que continua igual) não há estímulos para adicionar a jornada do aluno/cliente o sucesso e progressão. O aluno está sozinho.   Qual a diferença desse método usado e disponível no site (cursos) da MusicDot para os cursos no  Udemy?  Observará que é a mesma coisa... você acessa ao conteúdo e só.  A diferença não é educacional, mas na venda, pois adquirindo uma assinatura existe a disponibilização de vários cursos... enche os olhos do cliente... mas é só ilusão, pois ninguém consegui fazer vários cursos.  Acaba só virando despesa e não investimento.   Caro que do lado do aluno há outras questões, mas o que a MusicDot pode fazer que está ao seu alcance?    Talvez, também, além de migrar de site para plataforma, poderia refletirem sobre a metodologia de ensino adotada e recursos digitais de ensino, se realmente estimula o aluno na jornada."
de 25 a 34 anos,Mulher,2,Sim,Semestral,"Não, eu não sabia que havia a possibilidade de testar",Passatempo,"Canto, Ukulelê",Flauta Doce,Básico,3,3,3,3,3,3,2.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,3,3,"Pra quem está começando se expor, por exemplo, cantando para todos do fórum é bem chato e não me senti nada confortável. ",Você faz o curso que quer a vontade,2.0,"""Sininho"" de avisos da plataforma",,,,,,,,,,,,,,,,,,,,,,,,,Youtube,canal do musicdot,Youtube,Sim,Sim,Gosto da professora Mariana ,"Acho que poderiam criar uma planilha de acompanhamento do curso individual para cada aluno dizer como foi a aula, como está se desenvolvendo e tirarem as dúvidas dele. Também poderiam ter deixado claro que era possível trancar a matrícula ou testar a plataforma. "
de 18 a 24 anos,Homem,2,Sim,Anual,"Não, eu não vi necessidade em experimentar","Quero melhorar minhas habilidades musicais, Desejo dar aula um dia, Quero aprender teoria musical, Aprender um novo estilo musical que não domino, Quero ter a música como profissão, Pretendo fazer faculdade de música","Teclado, Piano, Violão, Guitarra, Bateria, Percussão",Teclado,Básico,5 - Excelente,5 - Excelente,4,4,4,4,5.0,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,,"Tempo, Poder estudar de onde for, ",8.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,"Youtube, Pesquisando no Google",Estava a procura do curso de teclado/piano online que realmente fosse profissional e completo a nível de instituição de ensino renomada.,"Youtube, Instagram, Newsletter",Não,Não fiz o acampamento,,"Continuem o bom trabalho, a atualizar e adicionar curso. Quanto mais conteúdo de qualidade melhor, seja no site (assinatura) ou em outros canais (como You, que acompanho sempre)!"
de 45 a 54 anos,Homem,1,Sim,Anual,"Não, eu não vi necessidade em experimentar",Quero ter a música como profissão,"Violão, Canto, Teoria",Violão,Básico,3,5 - Excelente,2,3,5 - Excelente,5 - Excelente,4.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,3,"O professor deveria interpretar a música, mas há links para o YT apenas.",Acho a qualidade e consistência do material muito bons.,7.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,Grupo Caelum Alura,"Como comprava os livros da Casa do Código, acabei conhecendo os outros sites.","Youtube, Instagram",Não,Não fiz o acampamento,prejudicado.,
65 anos ou mais,Homem,3,Sim,Anual,Sim,Quero melhorar minhas habilidades musicais,Piano,Teclado,Intermediário,3,5 - Excelente,4,3,5 - Excelente,5 - Excelente,4.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,3,Não uso/Não sei opiniar,"A pouca ênfase à formulação de um plano (rotina) bem estruturado de estudo, permitindo ao aluno ter referências concretas sobre seu progresso. ","A liberdade de escolhas entre os diversos conteúdos oferecidos, além da possibilidade de estudar no seu próprio ritmo, com todas as vantagens próprias do modelo de ensino a distância. ",10.0,"email (newsletter), Youtube da MusicDot",,,,,,,,,,,,,,,,,,,,,,,,,Pesquisando no Google,Realizando pesquisas na Internet. ,"Youtube, Newsletter",Não,Não fiz o acampamento,,"Parabenizo toda a equipe pelo excelente trabalho que prestam, em especial quanto à qualidade dos professores, sua didática e esmero em cada aspecto da formulação dos conteúdos. Como ressalva, apesar  de compreender as dificuldades envolvidas, sinto falta de uma estrutura de formato dos conteúdos que se estenda além das aulas, buscando oferecer aos alunos referências claras entre o domínio necessário para considerar o estudo e prática de cada etapa do curso devidamente concluída, além da possibilidade de oferecer planos de estudo (rotinas) que devem ser mantidos presentes, além das aulas realizadas (rotinas de exercícios diários progressivos, voltados ao esmero do domínio técnico do instrumento). Outra formato que poderia incrementar bastante a experiência de aprendizado,  seria oferecer a opção de aulas síncronas  via vídeo conferência, a exemplo dos grupos de conversação de alguns renomados cursos de línguas. "
de 25 a 34 anos,Homem,1,Não,,,,,,,,,,,,,,,,,,,,,,,"É um canal no Youtube sobre aprendizagem musical, É uma escola de música online, É uma página de conteúdo sobre música","Quero aprender um instrumento musical, Quero aperfeiçoar o que já sei através dos conteúdos, Gosto de acompanhar alguns conteúdos produzidos, Gosto de avaliações de instrumentos musicais","Passatempo, Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Fazer novas amizades, Conhecer um novo estilo musical, Quero me profissionalizar na música",Alta,Média,Média,Média,Média,Média,Alta,Média,Alta,Alta,Média,Não,Sim,,,,,,,,,"Youtube, Pesquisando no Google, Indicação de influenciadores / youtubers/ podcast",Compra na empresa TeclaCenter,Youtube,Não,Não fiz o acampamento,,
de 18 a 24 anos,Homem,3,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar","Quero melhorar minhas habilidades musicais, Desejo dar aula um dia, Quero aprender teoria musical, Aprender um novo estilo musical que não domino","Teclado, Piano, Violão, Guitarra, Canto, Teoria, Áudio",Teoria,Intermediário,5 - Excelente,5 - Excelente,4,3,5 - Excelente,5 - Excelente,5.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,,,10.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,Podcast,através do Gugacast,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,,
de 35 a 44 anos,Homem,3,Sim,Semestral,"Não, eu não sabia que havia a possibilidade de testar","Passatempo, Tocar/cantar na igreja, Quero melhorar minhas habilidades musicais",Violão,Ukulelê,Básico,4,3,4,5 - Excelente,5 - Excelente,5 - Excelente,5.0,5 - Nenhuma dificuldade/ Adorei,Não uso/Não sei opiniar,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,,,10.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,Grupo Caelum Alura,Conhecia os cursos da Aluna já e vi q a plataforma pertencia ao mesmo grupo então confiei pq já tive ótimas experiências com a altura,"Youtube, Instagram",Não,Não fiz o acampamento,,
Abaixo de 18 anos,Homem,1,Sim,Anual,"Não, eu não vi necessidade em experimentar","Tocar/cantar na igreja, Quero melhorar minhas habilidades musicais, Quero ter a música como profissão","Teclado, Piano",Teclado,Avançado,5 - Excelente,5 - Excelente,5 - Excelente,4,5 - Excelente,5 - Excelente,5.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,,"Poder fazer aulas em casa, no momento que quiser é o principal ponto positivo. Professores muito bons também.",10.0,"email (newsletter), Youtube da MusicDot",,,,,,,,,,,,,,,,,,,,,,,,,Indicação de amigos ou família,"Meu tio André (André Luiz, tecladista) me indicou, já que também toco teclado e gostaria de melhorar minhas habilidades.","Youtube, Instagram",Não,Não fiz o acampamento,,"Aulas muito boas, didática incrível, parabéns!"
de 18 a 24 anos,Mulher,3,Sim,Semestral,"Não, eu não sabia que havia a possibilidade de testar","Quero melhorar minhas habilidades musicais, Quero aprender teoria musical, Quero ter a música como profissão, Lapidar a técnica para a gravação de um disco autoral","Canto, Teoria",Canto,Básico,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,O contato direto com o Professor ,"Uma escola excelente, preço acessível, em relação às outras empresas no mercado,  variedade incrível de instrumentos, professores super capacitados. Estou muito contente ",10.0,"""Sininho"" de avisos da plataforma, email (newsletter), Youtube da MusicDot, post no Instagram da MusicDot, Grupo de Telegram",,,,,,,,,,,,,,,,,,,,,,,,,Youtube,Acampamento de Canto ,Youtube,Sim,Não,Buscava cursos de canto ,Estou muito contente.
Abaixo de 18 anos,Homem,0,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar","Passatempo, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical","Violão, Canto, Teoria",Violão,Básico,5 - Excelente,5 - Excelente,5 - Excelente,4,5 - Excelente,5 - Excelente,4.0,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,4,4,5 - Nenhuma dificuldade/ Adorei,,"Conseguir acessar o conteúdo da aula no momento que quiser, revisando a aula, e aprendendo no próprio ritmo. Os professores são muito gente boa.",8.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,"Podcast, Indicação de influenciadores / youtubers/ podcast",Nerdcast Tim Maia e Queen,Youtube,Não,Não fiz o acampamento,,Continuem botando pra quebrar!
de 35 a 44 anos,Homem,1,Sim,Semestral,"Não, eu não sabia que havia a possibilidade de testar","Passatempo, Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Fazer novas amizades","Teclado, Percussão, Canto, Teoria",Percussão,Básico,5 - Excelente,4,5 - Excelente,4,5 - Excelente,4,5.0,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,Ainda não encontrei ,"Plataforma excelente, variedade musical e muito conteúdo. ",9.0,"email (newsletter), Youtube da MusicDot, post no Instagram da MusicDot",,,,,,,,,,,,,,,,,,,,,,,,,Grupo Caelum Alura,Ouvir falar porque sou aluno da Caelum/Alura,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,Não tive a oportunidade de fazer. ,Continuem com o excelente trabalho e sobre com muita inovação.
de 18 a 24 anos,Homem,1,Sim,Semestral,"Não, eu não vi necessidade em experimentar","Passatempo, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical, Aprender um novo estilo musical que não domino","Violão, Guitarra, Baixo, Bateria, Canto",Baixo,Intermediário,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5.0,5 - Nenhuma dificuldade/ Adorei,4,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,"Não há acompanhamento pessoal, ou seja, a dúvida ou técnica não pode ser corrigida na hora ou o aluno pode não perceber se está errado ou não ","Preço acessível, grande variação de conteúdo, ótimas aulas, ótimas explicações nas aulas, estudar quando e onde quiser e pelo tempo que quiser ",9.0,"""Sininho"" de avisos da plataforma, email (newsletter), post no Instagram da MusicDot",,,,,,,,,,,,,,,,,,,,,,,,,"Youtube, Pesquisando no Google",Estava procurando vídeos sobre indicações de como comprar e escolher um baixo e encontrei um vídeo do Leandro falando sobre baixos com preços bons ,Instagram,Não,Não fiz o acampamento,,"Continuem com o bom trabalho, se houver alguma forma de avisar quando lançar algum conteúdo para o curso específico que você esteja fazendo seria interessante "
de 25 a 34 anos,Homem,2,Sim,Semestral,"Não, eu não sabia que havia a possibilidade de testar","Quero melhorar minhas habilidades musicais, Quero aprender teoria musical, Aprender um novo estilo musical que não domino","Violão, Canto, Teoria",Violão,Básico,3,3,3,3,4,4,3.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,,,8.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,Podcast,Jovem Nerd,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,,
de 18 a 24 anos,Homem,3,Sim,Semestral,"Não, eu não vi necessidade em experimentar","Passatempo, Quero melhorar minhas habilidades musicais","Violão, Baixo, Teoria",Baixo,Básico,4,5 - Excelente,5 - Excelente,4,4,4,5.0,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,Não uso/Não sei opiniar,Não uso/Não sei opiniar,,,9.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,"Youtube, Indicação de amigos ou família",,Youtube,Não,Não fiz o acampamento,,
de 25 a 34 anos,Homem,2,Sim,Anual,Sim,"Quero melhorar minhas habilidades musicais, Quero aprender teoria musical, Aprender um novo estilo musical que não domino, Quero ter a música como profissão","Teclado, Piano, Percussão, Ukulelê, Teoria, Áudio",Teclado,Básico,4,5 - Excelente,4,4,5 - Excelente,5 - Excelente,4.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,"Acho que poderiamos ter uma opcao de Compra de curos vitalícios, por exemplo. comprar ate 5 cursos vitalicios por tal valor, pois quando fazemos o pacote anual acabamos não tendo tempo para fazer todos os cursos que gostaríamos. Isso é uma sugestao apenas.",,9.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,Youtube,,Youtube,Não,Não fiz o acampamento,,
de 25 a 34 anos,Homem,3,Sim,Semestral,Sim,"Passatempo, Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical, Quero ter a música como profissão, Pretendo fazer faculdade de música","Piano, Guitarra, Baixo, Bateria, Teoria, Áudio",Baixo,Intermediário,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não consigo citar nenhum.,"Estudar qualquer instrumento, a qualquer hora, valor bem acessível, qualidade das aulas, excelentes professores, pode estudar no meu ritmo.",10.0,"email (newsletter), post no Instagram da MusicDot",,,,,,,,,,,,,,,,,,,,,,,,,Youtube,Achei o vídeo por acaso no youtube. Era uma aula de baixo ensinando a tocar Back in Black. ,"Youtube, Instagram, Facebook, Newsletter",Não,Não fiz o acampamento,,"A Musicdot é boa demais, já fiz aula de bateria há muito tempo atrás, presencialmente, quando ainda não tinha aulas online. E hoje em dia estudo contrabaixo pela Musicdot, e posso dizer que a qualidade do ensino de vocês é excelente, até arriscaria dizer que, na minha opinião, melhor do que ensino presencial. Consigo me concentrar melhor, quando não entendo posso voltar a aula, assistir quantas vezes quiser, perguntar no fórum, etc. O valor é acessível. Com certeza vale a pena estudar na Musicdot. Uma idéia que eu daria para a escola é tentar fazer encontros presenciais nas cidades, eu moro em Curitiba-PR, seria muito legal poder fazer uma reunião com os alunos, um ensaio ou apresentação de bandas formadas pelo alunos. "
de 25 a 34 anos,Homem,2,Sim,Semestral,Sim,"Passatempo, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical, Aprender um novo estilo musical que não domino, Amo música","Teclado, Violão, Guitarra, Canto, Teoria, Saxofone",Teoria,Intermediário,3,4,1,2,5 - Excelente,4,3.0,3,3,Não uso/Não sei opiniar,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,Suporte aos alunos em dúvidas poderia ser mais direto!,Professores bem qualificados! ótima didática! praticidade! curso em casa! ,9.0,"""Sininho"" de avisos da plataforma, email (newsletter), post no Facebook da MusicDot",,,,,,,,,,,,,,,,,,,,,,,,,Pesquisando no Google,"Estava muito curioso em entender como é a lógica musical! e quis muito fazer um curso,, e vocês foram as primeiras indicações do Google(fora anuncio) e me conquistaram com a variedade de cursos pelo mesmo valor mensal! ",Youtube,Não,Não fiz o acampamento,>.<,"Arrumem uma equipe de motivação pra nós alunos! sem que é dever nosso estudar, mais os corres do dia dia nos fazem fraquejar e passar até mês sem abrir o curso! HELP PLS"
de 18 a 24 anos,Mulher,1,Sim,Semestral,"Não, eu não sabia que havia a possibilidade de testar","Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical, Quero ter a música como profissão","Teclado, Violão, Guitarra, Baixo, Bateria, Canto, Teoria, Áudio",Teoria,Básico,3,5 - Excelente,3,2,4,4,3.0,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,3,4,"Sinto que o acompanhamento para o canto é um pouco precário, mas não deixaria de assinar a MusicDot mesmo assim. ","É acessível, em questão de mensalidade, a didática não é maçante. ",10.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,Youtube,Sempre assisti os vídeos da MusicDot no youtube. ,Não acompanho em nenhum lugar,Sim,Sim,Achei que seria uma imersão com assuntos bem legais.,Vocês são demais. Obrigada! 
de 35 a 44 anos,Homem,3,Sim,Anual,"Não, eu não vi necessidade em experimentar","Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Desejo dar aula um dia, Quero aprender teoria musical, Aprender um novo estilo musical que não domino, Quero ter a música como profissão, Pretendo fazer faculdade de música","Teclado, Piano, Bateria, Percussão, Canto, Teoria, Áudio",Teclado,Básico,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,"Nada a reclamar, estou gostando bastante do curso.",Poder conhecer os outros cursos da plataforma e ter a possibilidade de escolher ou trocar curso em definitivo. ,10.0,"""Sininho"" de avisos da plataforma, email (newsletter), post no Instagram da MusicDot, post no Facebook da MusicDot",,,,,,,,,,,,,,,,,,,,,,,,,Pesquisando no Google,Pesquisando Cursos de música online na internet.,Youtube,Não,Não fiz o acampamento,Não faço.,Parabéns pela plataforma! Estou adorando os Cursos.
de 35 a 44 anos,Mulher,2,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar","Tocar/cantar na igreja, Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical, Faço parte de uma banda, contribuo com composições, vocal e já gravei umas linhas de baixo.","Teclado, Violão, Baixo, Canto, Teoria, Áudio",Baixo,Intermediário,5 - Excelente,5 - Excelente,4,5 - Excelente,5 - Excelente,5 - Excelente,5.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,2,5 - Nenhuma dificuldade/ Adorei,-,Teoria e prática bem equilibrado; videoaulas bem gravadas; download de materiais para treino; ótima plataforma de acesso aos cursos.,10.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,Youtube,"Pesquisando vídeos de aulas de canto no Youtube cheguei ao vídeo da primeira aula que estava disponibilizada. Assim conheci o canal da MusicDot e, posteriormente, o site.",Youtube,Não,Não fiz o acampamento,-,-
de 35 a 44 anos,Homem,4,Sim,Semestral,Sim,"Tocar/cantar na igreja, Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Fazer novas amizades, Desejo dar aula um dia",Baixo,Baixo,Básico,5 - Excelente,5 - Excelente,5 - Excelente,4,5 - Excelente,5 - Excelente,5.0,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,4,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,,,10.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,Anúncios publicitários,Estava trabalhando e fui ver um video tutorial e veio o anuncio da escola antes do video,Youtube,Não,Não fiz o acampamento,,
